target_group,replic,reply_1,reply_2,outputs
лгбт,"ТЕПЕРЬ ТАМ ДВА НИГГЕРА-ПИДОРАСА ПИЗДОООС Лучше б негры двойники потрахались друг с другом, без белого. Забавно же своего двойника отыметь.","Лучше б негры двойники потрахались друг с другомЯ тоже ожидал такой твист, иначе какой смысл было делать его пидорасом? Но нет, пидорас он просто потому, что сериалу не помешает лишний пидор.","Чем забавно то? Как по мне, так лучше смотреть на шлюх, с сиськами и садомазных костюмах! Но сейчас сериалы по другому принципу клепают, что же поделать? Приходится смотреть что есть",1
другое,"Как вы эту долбежку в уши можете слушать? У меня голова после минуты болеть начинает. Я с детства по рэпу, тем более сейчас рэп на пике популярности, я в любой тусе могу включить ОГ Буду условного и все меня поддержат. А что вы включаете на тусах? Сидите компанией рычите свое говно?","хах, чел ты реально не врубаешь, это идеальный белый шум для концентрации, а на тусах мы ностальгируем под певко и подъездные завывания или вообще музыку не включаем. А некоторые даже и на тусы-то не ходят.","Блеванул на пидораса и на нарков-полудурков реперков. Сколько себя помню, самое быдло тупое как раз пацанчики, угорающие по русрэпу",2
женщины,Это со шлюхами ? Если нет то пиздеж имхо,Почему при упоминании интимной близости Вы сразу думаете о женщинах легкого поведения. Это очень стериотипно и не имеет отношения к реальности. Я никогда не прибегаю к их услугам.,"Почему для вас проститутки не идут в счет как ПП, НО обычные девушки идут, хотя они мало чем отличаются от проституток?",2
женщины,"Я относился нейтрально до первых серьёзных издевательств... Когда тебе палец сломают, я посмотрю как ты подставишь второй... Женщинам ничего подставлять не буду... Только мужчинам... Собственно, я мужчин простил... А женщины это зло...","Бедняжечка куклчек. Мне жаль заставлять тебя возвращаться к травмирующим воспоминаниям, но шлюхи просто мебель для ебли. Их нельзя ненавидеть. Это так же глупо как ненавидеть собак.","Почему же сразу зло? Женщины бывают разные, так же как и мужчины... Странно вообще, мужчинам подставлять палец опаснее, эбнут и не заметят. они твари сильные, ты зря так, женщине безобиднее ",1
мужчины,"Заметил, что основной контингент велоблядей в Д Сах это старые плешивые мужики под 30-ник (и даже сильно старше), рядящиеся в зумерские шмотки и это вызывает у меня дикий ор. Я не понимаю, что забыл великовозрастный кринжевый шиз на лясике? Это попытка коупинга крысиса среднего возраста, показать что он ЕЩО МЛАДОЙ и ЕЩО ОГОГОГОГО или что? Неужели старпёры сами не понимают, что выглядят как нелепый потешный цирк?","старый пердун бумер 80 лет завидует активности миллениалов. В свои 30 лежал как тюлень на диване, пахал на заводике, бухая до блевотины в выходные","чет звучит как бред. Схуев ты решил, что твое мнение так важно этим челам? Ну хочет он надеть типа модные цацки и кататься - нехай делает. ",1
женщины,"А Femen прямо таки приподнялись, американскую конгрессменшу (AOC) заставили в Киеве свои титьки морозить. Еще один пруф того что хохляцкие олигархи вертят Америкой как хотят.",Ещё тупая пизда дытыну блядь с собой взяла. Нахуя? Ты на ебло её посмотри. Это же мания величия. Её в дурку надо,"Вряд ли американцы могли такое спланировать и устроить! Они блять сами себе хозяева, кто там их как заставит, даже олигархи?! Да кмаон, буллшит полный",1
женщины,"Еррор, а почему ты считаешь, что нам дают только нищие рсп? Это ты после эскортницы с патриков в себя поверил, что остальным такие не достанутся? Тем более с пд?)","К сожалению, я не знаю что такое рсп, не могли бы Вы пояснить? Я говорил и хороших представительницах прекрасного пола.","мид тир телок имел ввиду и ниже, я не ебу че такое рсп",2
мужчины,"Правильно, когда ты обосравшийся даун, назови оппонента долбоебом При чем тут вообще спириты, отсталое животное, если ты пишешь, про группу инта, куда едет еще куча всякого мусора, что я перечислил выше?","Хорошо что в данный момент очередная ТОП16 мусорка отсеивается в прямом эфире, а ты ебанат в сообщении только прочитал что ты долбаеб (по факту так и есть как оказалось) и как бык на красную тряпку подорвался.","нихуя непонтно чел. Вынь вонючий хуй из своего пидорского рта, достань пальчики из очка своего бойфренда и напиши нормально. Пока что ощущение, что ты рак ебаный и тащить можешь только в катке с пиздюками-инвалидами",1
женщины,"У кого ни спрошу - всех бывшие тянки винят во всех смертных грехах, включая убийство кеннеди. А из себы строят жертву. Ты с бывшей то общался хоть раз? Всегда ТЫ будешь виноват во всем","вроде не винит но она ж от меня зависит без алиментов пропадет потому наверно и не винит а ту шалаву из черкас я и не вспоминаю, хочется ей по ебалу дать","Я предпочитаю не драматизировать и извлекать уроки из собственных ошибок, всегда есть две стороны в отношениях",1
мужчины,Песков все правильно сказал При виде этого фбк хочется ему въебать только мне?,о новый утырок въеби говна чел,"Для того, чтобы компетентно высказаваться по подобному вопросу, мне необходимо больше знаний по теме",1
другое,"Так ""унылый кал"" означает ""я не полюбил сей фильм, господа, ибо он не про преступников и убийства"" в переводе с фекального языка быдла?А сранье в подъезде или лифте как следует понимать в таком случае? Как крик души: ""господа, помогите! я нищий, глупый и меня били, укнижали и насиловали всю мою жизнь"", наверное?","Каждый раз кринжую с этих проецирований жирножопого нищего Виталямбуса, которого насиловал гречневый заводчанин отец Иди на хуй отсюда, долбоеб убогий","Уф, у каждого своё восприятие. ",1
женщины,ты хуеплет ебаный с еблищем огр мага нахуй вообще ебальник открываешь паскуда ебаная я очко твоей дочки скипидаром смажу и выебу и заставлю тебя слизывать с хуя моего,Ты сын бляди плакат от картины отличить не можешь. Как ты овощь вообще на сайте зарегался?,"Не надо так грубо. пидорас ты недоделанный! Может, лучше просто поговорить, чем обзываться?",1
другое,"Каким дегенератом надо быть, чтобы это купить?","Каким дегенератом надо быть, чтобы это купить? канал магазина, продающего эту хуйнюА ты не очень умный, да?","Действительно, это действительно не самая стандартная покупка.",1
мигранты,Неужели других азиатов и негров не было. Как будто первых попавшихся за ларьком взяли.,"Да абсолютно похуй, главное что сыграли более менее норм.","Ну этот азиат - пидор, который не так давно камингаутнулся, у других такого козыря, видимо, не было. А вот с нигрой всё непонятно, да.",2
национальность,"Опять американцы помогают голодающим русским и опять не услышат ""спасибо"", а наоборот, что еда у них говно и давали мало.","Да это всё пиздёж, они явно остались благодарны и всячески выразили это, так что давайте без этого тут","физически сьбеались из пидорашки, чилят по кд на мкс, продались пиндосам за гамбургеры и колу балдеж же не ?",2
мигранты,А чего ещё ожидать от безграмотной расистской хуйни.,"Значит, твои предки были очень культурными и образованными людьми ","Никогда не суди о чурках по их внешности или других качествах, судить надо лишь по поступкам",2
другое,"""пидоры рассекают на мотиках что бы доказать миру что они крутые""? Я рассекаю просто так, для удовольствия. Я тебе не мешаю, и ты мне не мешай, какие проблемы?",Но почему когда я ночью открываю окно я слышу твой гул мотора? Закрыть окно? Так у нас пидорасы отопление так и не отключили.,"Какие проблемы, если я спать не могу! Закроешь окно - отопление жарит. Откроешь окно - рёв мотиков всю ночь, пц! Как спать-то?!",1
женщины,"Хуйню ты сейчас сморозил. Разные вещи. Эту шалашовку явно никто не насиловал, это даже смешно)",Так-то явление шалашовкой рили не делает тебя неуязвимым к насилию.,"Почему хуйню? Как по мне так надо в начале разобраться, а не вешать на человека штамп.",1
другое,"Все книги про борьбу с ужасными-ужасными фошиздами, которым не нравится смешение с унтерменшами, лол, сам нарратив книги левацкий Да и сама Роулинг открытой левачкой была еще до того, как поддерживать повесточку стало обязательным Дамболдора она в пидоры записала еще в 2007, когда никаких сжв в принципе не существовало, или они не имели такого влияния","кто о чем, а оп о своих любимых пидорах и хуях. Рыбак рыбака.... Какая тебе нахуй разница, долбится ли Дамблдор в очко или нет? Это сука единственное, что тебя интересует в огромном, созданном Роулинг, мире? Если да, то пидор тут только ты - только на своих и обращаешь внимание","Да я не думаю то что дамблдор пидор как то относится к повесточке и сжв. Ведь это боядь ебучий 2007 год, и это всего лишь жирушный фансервис без политической подоплёки, пока что. Никакой политики нет в этом заявлении.",2
женщины,Сладкий дым и я в тумане хоуп этот сын бляди,привет тебе мама компьютер купила что ли? видел ты в полигонне писать начал я рад за тебя нищая дочка шлюхи,"Мне рассказывали, что это один из самых противных видов дыма, сидишь как в ёбанном тумане из клубники",1
национальность,а почему русня так дрочит на иранского офицера убитого? на чистопрудном бульваре цветочки накидали возле посольства)0,"Ну типа любой враг пиндосов это друг россиян если на бытовом уровне Но на высоком геополитическом уровне смерти генерала должны быть рады высшие круги как Ирана (засилие КСИР) так и России(мешал в Сирии), США и тем более Ирака(кукловодил страной) и Израиля ( курировал Хезболлу). Мб только Китай огорчен что ебнули охранника их подпольной бензоколонки. Теперь с США пришлось торговую сделку прописывать в которую включена покупка легальной американской нефти.","Логика ультрапростая. Враг моего врага мой друг. Хотя проблема куда глубже. Большая часть населения - быдло и дегенераты, которым по телеку сказали, что сша - плоха, иран - просто рай на земле, почти как у нас, но мы лучше. Мы вообще самые лучшие. Вот и идут хомячки возложить цветы, пофоткаться как инста-шлюхи на фоне цветочков, выложить постик, чтобы в их узком гей-круге все увожали. В жизни не поверю, что хоть кто-то из тех, кто цветы клал, вообще понимает, что происходит в политике ирана",1
другое,"обсуждение того, какой Крапивин педофил, а на его книги всем срать Что тебе не нравится, пидор? Автора наконец начали оценивать по достоинству.","Интересно, кто и зачем устраивает ему черный пиар",Мнение анимубляди никому не интересно,2
мужчины,"""сейчас эти документы с сайтов вычищены, но интернет помнит""? Что у тебя там вычищено, пидорас ебаный?","""Что у тебя там вычищено, пидорас ебаный""? Сайт который в интернет архиве лежит, тупой ебанат. Кстати, в рунете про эти два ""инцидента"" почти нет информации Ах да, ты жалкая пидарашка на захисте барина, не забывай об этом когда посмотришься в зеркало.обхаркал твоё жалкое еблище","Не устал ли ты, Анонимус, строчить доносы по поднятым архивам и сохраненкам. Я тот файл сам пустил когда-то по интернету гулять, чтобы хейтеры набежали, посмотреть на их реакцию и свой растущий рейтинг. Я думал, на это только тупая домохозяйка поведется. ",1
женщины,"уже бабок на рынке трахаешь? во даешь, нравятся морщинистые? понимаю","Для меня главное — чтобы человек был хороший, морщины епта не проблема",зачем свою блядь (жену) бабкой называешь?))),2
лгбт,"Чет грустно от пикта стало, такие прям братишки были и тут на тебе ересь, Лоргар пидор.",Вообще то на этом арте скорее фулгрим пидор. Пидор анимешник.,"Вархаммер лучший, кто бы там что
не говорил. А чем персонажи 
занимаются - меня не волнует.",1
национальность,"Разные мнения. В 19 веке сказали бы, что да. Сейчас западные нацики часто за один ислам выписывают из белых (как каких-нибудь боснийцев с албанцами).","Аахахах ну и хрень, я в такую дичь точно не поверю","""Сейчас западные нацики""? Ебало чуркобеса представили?",2
мужчины,"эхх были времена, а щас сидит чмо патлатое с хмурым еблищем да и всё","Всё тебе что-то не нравится. Нашёл канальчик для сброса негатива. Так-то для здоровья полезно, побурли немного, чё там. Но все эти ""раньше трава была зеленее, мороженка дешёвше и кины поинтереснее"" никуда не ведёт, только сопли размазывать разве что. Зачем оно тебе, анон? Вступи в финансовую пирамиду, сходи на тренинг по дыханию пяткой или просто попустись",Какие времена ебанат безмозглый у тебя рега 15 год я только что прочел че ты про дерда написал я твоей матушке в рот от смеха с крошкой пернул пхуеть ты клоун сумашедший крейзи сблев солевика Не смей мне отвечать сын паскуды иначе я заставлю твоего папашу сидеть на трубе выхлопной от грузовика скания,2
национальность,"Жидовский мир, 30 лет, итоги.","И вовсе этот мир не еврейский. Наш мир можно назвать капиталистическим, это верно, но делать какие-то другие предположения - полная херня.","Да нихуя он не жидовский Он калпиталглистный, это мир. А в этом мире вымирают все - и хохлы, и русня, и белорусы, и те же жиды",2
мужчины,"с твоим то вкусом на инфоцыганскую парашуу меня вообще вкуса нет, поэтому и спрашиваю знающих людей. а твой тейк про генетическое уродство это просто замечательно. манера речи это привычка. если бы я рос в среде интеллектуалов, то я бы общался как интеллектуал в независимости от своего интеллекта, так что твоя фашистская хуета тут вообще не к месту","Вкуса у тебя так же нет потому что ты дегенерат биологический.А хочешь мнения знающих людей - потому что низкопримативный, потому что уродцы в дикой природе всегда низкопримативны в стаях. Отсюда кстати тоже твоя неуверенность. И да это не лечится. Ты рожден страдать, как Франкештейн.","Мне кажется, тебе просто надо поработать над манерой общения и стараться принимать людей такими, какие они есть. Не надо пытаться загнать всех под одну гребенку, мир слишком разнообразен.",1
мужчины,ты клоун? он имплант себе вставил и всё.,"Вы чё ебанаты ?! Это маска такая в тик-токе ! Зайдите на его канал, там в каждом видео указано, что оно снято с маской. Можете даже сами её попробовать","Возможно ты и прав, его улыбка действительно изменилась. Однако будь то имплант или нет, ему идет.",1
женщины,за год 2 бабы залезли на меня и 1 отсосала ну это потому что квартира кста появилась ну и с 10 сосался где-то,"Да ты у нас жеребец, дашь уроки по такому мастерству? Плачу много",за 26 лет 0 баб залезли на меня и 0 баб отсосали ну и с 0 сосался где-то офк проститутки не в счёт И кто из нас инцел?,2
женщины,"Марпл объективно в миллион раз лучше этой хуйни, которая в вещах роется","Объективно Объективно блядь Мне кажется одна баба лучше другой, поэтому она ОБЪЕКТИВНО лучше То что в вещах рылась, думаю, было как-то согласовано с игроками. Иначе пиздец какой-то",Каждому своё ,1
мигранты,"От мдма кокса самоубиться невозможно. Скорее сердечко пизданет. Молли хуярит любовь к чуркам даже, кокс делает тебя богом, жить лучше и веселее чем было при Сталине. От ЛСД с кокосом, хз, если только решил, что стал главной массой в гарвитационной системе Земля - Просвиньин.","Такое ощущение, что читаю какую-то фантастику про безудержные наркотические трипы с изрядной долей ксенофобии и конкретно ненависти к мигрантам. Ну, и нахуя? Совсем скучно стало? Хотя конечно, где ещё это обсудишь и с кем. Так что ты продолжай, только градус ксенофобии снижай нахуй. Мы здесь все откуда-то, никто в чатике не родился, тут каждый мигрант из реальности","""От мдма кокса самоубиться невозможно. Скорее сердечко пизданет. Молли хуярит любовь к чуркам даже, кокс делает тебя богом, жить лучше и веселее чем было при Сталине""? Та ты че, вероятность психоза никто не отменял, хуй знает какая там доза или на отходах плохо было. А если еще и пил до этого несколько дней - это + белка.",2
женщины,"Ну собственно точно так же это себя не уважать слушать че там хотят бабы - очевидно они хотят потреблять, личинок содержать, и ""объехать весь мир"" Так амбициозно шо пиздец прямо сразу мотивации дохуя",Плюсую на все 100% Слушать мнение других не имеет смысла.,"Тут соглы ++++, не важно че думают бляди забейте",2
другое,"Лол, говно само по себе заспавнилось","Мне кажется ты просто не понимаешь значения слов, что у тебя произошло?",Дегенерат великовозрастный ты еще тут? бегом расследоваться короновирусные фейки! могу тебе еще 100 рубасиков на интернет подкинуть бомжара антиваксерская для мотивации.,2
женщины,Ладно яз ашел зараза со станом на первом говорит Эх щас бы на миде крипчиков поблочить подойти нельзя на руну ферстблад сделать. .3X ты бы мне такое в лицо сказал сынок шлюхи я бы тебе без раздумия в в бороду уебал посмертный,"А не тот ли ты пидорок, кто слил мид вчера нубам залетным?","ты тот сын шлюхи на тини? Скинь номер карты, дам сотку на лечение.",2
женщины,"Да и на счёт 8ми лайков на баду за 2 недели это рофл какой-то. Разве что ты живёшь на хуторе 50 чел. Даже у такого сына бляди и уёбища как я, живущего в мухосрани на 250к ~15 лайков за сутки при одной фотке. Мб ты с тиндером спутал?","А че ты тогда с проститутками ебешься, а не с бадушницами?","Я никогда не пользовался такими приложениями, предпочитаю знакмиться вживую",1
национальность,"НЕЕЕЕЕЕЕТ, НЕ МОЖЕТ У РУССКИХ (СЛЕЙВАН, СРУСНИ, СПИДАРАШЕК, УНТЕРМЕНЬШЕЙ, МОНГОЛОЙДОВ, ГРЕЧИ) БЫТЬ СМАЗЛИВОЕ ЕБАЛО КАК У АМЕРИКАНЦЕВ! А ЕСЛИ И ЕСТЬ, ТО ЭТО ГАРАНТИРОВАННО ГЕРМАНСКОЕ (АРЙИСКОЕ, УБЕРМЕРШЕСКОЕ, ЕВРОПЕЙСКОЕ, БЕЛОЕ) ПРОИСХОЖДЕНИЕ, РАСОВАЯ ГЕНЕТИКА ИЛИ ДУХОВНЫЙ МЕНТАЛИТЕТ ИБО ИХ ДРЕВНИХ МАТЕРЕЙ ВЫЕБАЛИ ГЕРМАНСКИЕ ГОСПОДА!11Я хуею с этого культа национал-куколдизма.","А ты не хуей. Пожал плечами, прошёл мимо. Мало ли глупостей вокруг говорят. Собака лает, караван идёт. А если на всякий лай отвечать, так до старости на том же месте перебрехиваться и придётся. Кто вообще принёс в чатик эти националистические бредни? Может, просто перекрыть кран, и пусть этот ручеёк не журчит?","А что не так? Русачки сами себя не ассоциируют с европейцами и ""белыми"", значит и называться им так не нужно. Там же одни пидоры и вырожденцы, а русский человек борется с фашизмом, аки диды. Узбеки, казахи и азеры со студентами из рудн - вот идеал для россиянина, братские народы.",2
женщины,Шлюха и Куколд должны на коленях ползти в Италию и умолять Кареру вернутся.правильный фикс,"""Шлюха и Куколд должны на коленях ползти в Белоруссию и умолять Кононова вернуться""? ну вот теперь финальный фикс А если серьезно, то Ваноли, возможно, и не такой плохой вариант.",Думаешь им там не поебать? Они же там говорящие головы на подсосе у рептилоидов. Смена кукол это иллюзия выбора для лошков. Настоящие пацаны понимают этот расклад,1
женщины,"В чем угодно, например стать неймом на пд. Или стать чемпионом мира по игре в тетрис. Бабы должны говорить ""должен стремиться зарабатывать деньги"", чтобы было понятно. Много обеспеченых парней готовы взять бабу, стремления которой не связаны с зарабатыванием денег. Но вот для баб это маст хев чтобы парень стремился к богатсву. Ну это дефолт, ебарь должен добывать ресурсы","Отлично, стану чемпионом мира по игре в тетрис и буду обеспечивать женщин. Сами же прибежите - мол, научи, как ты это делаешь. Да я даже и научу, я же щедрый и добрый, вы знаете","Когда стану обеспеченным - хуй возьму какую шмару на обеспечение, никаких отношений. Буду только ебать и выкидывать на улицу, какой бы она ни была красоткой умницей или банковской сотрудницей",2
другое,С олигархов проорал))) Пригожинские шестерки умеют свои 15 рублей отрабатывать,"Нет) это настолько толсто, что только самые отбитейшие дегенераты (процентов 5) поведутся на такое","Каждый зарабатывает так, как умеет, так что нечему тут удивляться. Тем более за такие деньги",1
женщины,"Ну я понимаю что моя позиция дэбильная, потому и пишу суда, когда у бабы вообще НЕТ подруг, это же вроде не норм, а ток одни пацаны ( потенциальные йобари)?","Возможно, не уверен, что есть дружба между мужчиной и женщиной","всякое бывает, но учитывая что ты там вряд ли с кандидатшей физмат наук тусил, а скорее с лярвой районной, то хорошего мало! и с кем она бля тогда в телефоне сидела но какая кому бля разница, ты жениться на ней чтоль собрался - два гондона и дедовский теплый носок надел как учил дедушка альф на язык и погнал",2
другое,"В очке у тебя ось, а тут выше обсуждается оловянч на эксцентрике.","Возможно, они просто обсуждали какой-то свой вопрос в такой завуалированной форме.","очко Пошёл нахуй, латентный пидор чухоморов. Ты бы хоть не шифровал свою ориентацию. В 2к21 можно уже.",2
женщины,"Пукань, а ты не рассматривал вариант отношений с тянкой, вместо покупки шлюх?",Иметь такие отношения зачастую бывает непросто в то время как с девушками легкого поведения это чисто вопрос денег,"отношений с тянкой, вместо шлюх Ведь это значительно дороже...",2
другое,"Растет и доля расчетов в национальных валютах между РФ и КНР. Правда, в первую очередь за счет юаня. Российский рубль за счет своей слабости токсичен даже для малого бизнеса в КНР, говорят эксперты. Повторяю долбоебине - Китаю нахуй не нужен срубль.","Никому чужая валюта не нужна, ею пользуются если другого экономического выхода нет. Это понятно всем, можно не объяснять. Так что да, на этом поле расчёты будут расти в юанях. А ты в чём хотел? Не в тугриках же.","говорят эксперты Сука, какой же ты долбоеб. Вначале ты верещал, что Китай ничего не продает за рубли, а теперь оказывается продает, но типа рубль ему не нужен. Вот же ты мразота сверхманевренная.",2
другое,"Нихуя, анон, кого ты лечишь. В ДС хавка норм, каждый год туда езжу. В швитых тут приходится на этикетки внимательно смотреть, т.к. гмо говно до сих пор не запретили. Если тебе гмо гуано норм заходит , ну штош, видать такая у тебя судьба","Главное, что тебе нравится. Ты съешь, что нравится тебе, другие съедят, что нравится им. И все довольны! Просто рай на земле для всех и каждого.","""В ДС хавка норм""? Значит ты деградант пропитый без вкуса. ""на этикетки внимательно смотреть""? Сложно увидеть ORGANIC? Какое ж ты чмо пиздец.",2
мужчины,"""изображен солнцем и его называют солнцем""? Хуёнцем изображён. Исус был выблядком луны спидораковой и им всегда оставался. Никакого отношения жидоисуся,как и все жидохристаине чурки и жиды,к солнцу не имеют.","Красивое мнение. Агрессивное, провокационное, но зато оно у тебя есть. Я его не разделяю, живи с этим. А стремление оскорбить всех разом, кто с тобой не согласен, конечно, годный инструмент привлечения на свою сторону, на пятилеток действует!","ЧТД. В другом треде ты писал ""ПРИВЕДИТЕ ПРИМЕР СИМВОЛА СОЛНЦА"". Вот примели. Твоя реакция: РРРРРРРЯ НЕТ НЕТ РРРРРРРЯ ПИДОРЫ МРАЗИ ЖИДЫ РРРРРРЯ. Ну я хоты бы посмеялся с того как у тебя очко сгорело) а теперь пшел нахуй",2
лгбт,"Что у тебя там вычищено, пидорас ебаный? Сайт который в интернет архиве лежит, тупой ебанат. Кстати, в рунете про эти два ""инцидента"" почти нет информации Ах да, ты жалкая пидарашка на захисте барина, не забывай об этом когда посмотришься в зеркало.обхаркал твоё жалкое еблище","Ты что такое несёшь, деревенщина?!","хуесос ёбаный, ты в глаза долбишься?",2
женщины,"Ты уже дожирать начинаешь за клоунами топика на уралике и лобаныче. Блять ты даже не в состоянии свои оскорбления высрать своим тугим мозгом. АУ СЫН ШЛЮХИ КАКИЕ БОКОВЫЕ КОЛОНКИ???? БОКОВЫЕ КОЛОНКИ ЭТО ЦЕЛЬНЫЕ ОТДЕЛЬНЫЕ КОЛОНКИ ТЫ ВЗЯЛ МОНИТОРНЫЙ И НА ТАБУРЕТКИ ИХ ПОСТАВИЛ КОТОРЫЕ У МЕБЕЛЬЩИКА ЗАКАЗАЛ АХВАХАВХАВХАВХАВХАВХ Мониторные, господи...... НЕ ПИШИ ПОЖАЛУЙСТА ПРО ТЕХНИКУ В КОТОРОЙ ТЫ НОЛЬ. Стыдно читать.","Экспертиза так и прёт, я смотрю",у тебя семья сук чурек клапоухий,2
другое,Только пориджы не смогут и городские неженки. Всякие нигеры из Африки смогут. Сельские жители. Вот кто кто а деревенщина безб проблем вывезет дом и скот. Ты поридж просто.,"Сможет ли сельский житель, кто уже давно подвзяан на механизацию, пестициды и медицину? Я вот не уверен.","Не пойму, а ты сам к нигерам или селюкам относишься чи шо? Или может быть просто чмо диванное?",2
женщины,"Все по Фрейду. Мужчины видят, как трумэн крепкой рукой сжимает пизду свою шлюху, показывая доминанту сильного пола. Петушок-куколд же видит какие-то свои гомофантазии, не имеющие никакого отношения к реальности.",Откуда такая склонность к разделению мира на мужской и женский?,"свою шлюху Вот у тебя и оговорочка по Фрейду, куколдито.",2
другое,"В хуйню играю скучную, не буду писать тк деанон. Можешь просто посчитать что я в доту задоню на дотаплюс","Ок. А так как ты играешь в доту, то напоминаю тебе, что в доту играют в основном дегенераты, а дегенераты играют в основном в доту.",У тебя проблемы с русским языком?,1
мужчины,"Этот дурачок просто не понимает, что если на шосце нет его любимых дропов и камней, то это автоматом не делает езду чем-то простым автоматически, когда речь идёт об соревновательном темпе. Еще и ТДФ использует в качестве отправной точки, хотя это в принципе одно из самых тяжелых спортивных соревнований в мире в принципе по уровню нагрузки на организм.","когда речь идёт об соревновательном темпе. Но дурачок что ведёт речь о соревновательном темпе здесь только ты. ТДФ традиционно проезжается с бухичем и на синглспиде. Это алкорайдинг что украли долбоёбы которых хлебом не корми, - дай фармой обколоться и с такими же дрочерами гоняться.","Зато ты понимаешь. Сейчас ты всем всё объяснишь, и все всё поймут. Ты же знаешь, что всегда так бывает: как только ты кому-то что-то объясняешь, все сразу всё понимают и исправляются, и больше ошибок не повторяют, и вообще делаются шёлковые. Поэтому скорее примени своё могущественное колдунство.",1
женщины,пиструн надрачивай как все и молчи.маняпроекции пошлидаже красивую девку можно изуродовать хуевым мейкапом,У нее минимум мейкапа дура пиздоглазая может тебе приснилось я хз,"да обычный макияж у нее, что ты придумаешь. выглядит вполне нормально",1
